Número trámite	Trámite (instalación - baja - reclamo)	Fecha	Hora	Servicio (tel - int - tv)  	Número Cliente
1	instalacion	23/10/2024	8:30	int	3974
2	instalacion	23/10/2024	8:32	tv	3489
3	instalacion	23/10/2024	8:34	Error	8589
4	instalacion	23/10/2024	8:36	int	8981
5	baja	23/10/2024	8:38	Error	2907
6	instalacion	23/10/2024	8:40	tel	9889
7	reclamo	23/10/2024	8:42	Error	8398
8	instalacion	23/10/2024	8:44	tv	7117
9	reclamo	23/10/2024	8:46	int	1270
10	reclamo	23/10/2024	8:48	tel	7141
11	reclamo	23/10/2024	8:50	tel	7813
12	reclamo	23/10/2024	8:52	Error	5296
13	instalacion	23/10/2024	8:54	int	2386
14	baja	23/10/2024	8:56	tv	2403
15	reclamo	23/10/2024	8:58	Error	7225
16	reclamo	23/10/2024	9:00	tel	3062
17	reclamo	23/10/2024	9:02	Error	7644
18	reclamo	23/10/2024	9:04	tel	2577
19	instalacion	23/10/2024	9:06	tel	8917
20	reclamo	23/10/2024	9:08	tel	9090
21	reclamo	23/10/2024	9:10	Error	7152
22	baja	23/10/2024	9:12	tel	8634
23	instalacion	23/10/2024	9:14	Error	4685
24	baja	23/10/2024	9:16	tv	8614
25	reclamo	23/10/2024	9:18	tv	8276
26	instalacion	23/10/2024	9:20	tv	9565
27	baja	23/10/2024	9:22	tel	4784
28	instalacion	23/10/2024	9:24	Error	7776
29	reclamo	23/10/2024	9:26	Error	3597
30	reclamo	23/10/2024	9:28	tel	7183
31	baja	23/10/2024	9:30	tel	6934
32	instalacion	23/10/2024	9:32	tel	4140
33	reclamo	23/10/2024	9:34	tel	2077
34	reclamo	23/10/2024	9:36	tv	8941
35	reclamo	23/10/2024	9:38	int	8265
36	reclamo	23/10/2024	9:40	int	5847
37	instalacion	23/10/2024	9:42	tv	4976
38	instalacion	23/10/2024	9:44	int	6511
39	instalacion	23/10/2024	9:46	tv	7042
40	instalacion	23/10/2024	9:48	tv	8727
41	reclamo	23/10/2024	9:50	Error	9893
42	instalacion	23/10/2024	9:52	Error	6657
43	instalacion	23/10/2024	9:54	tel	1300
44	reclamo	23/10/2024	9:56	tv	2213
45	instalacion	23/10/2024	9:58	Error	2048
46	baja	23/10/2024	10:00	int	7188
47	instalacion	23/10/2024	10:02	Error	9709
48	baja	23/10/2024	10:04	tel	3033
49	reclamo	23/10/2024	10:06	tv	9541
50	baja	23/10/2024	10:08	Error	7853
51	instalacion	23/10/2024	10:10	tel	8023
52	baja	23/10/2024	10:12	Error	4662
53	instalacion	23/10/2024	10:14	int	4777
54	reclamo	23/10/2024	10:16	tel	6745
55	instalacion	23/10/2024	10:18	int	2393
56	reclamo	23/10/2024	10:20	int	3544
57	baja	23/10/2024	10:22	int	4675
58	reclamo	23/10/2024	10:24	int	4019
59	reclamo	23/10/2024	10:26	tel	2992
60	baja	23/10/2024	10:28	tel	7980
61	baja	23/10/2024	10:30	Error	4899
62	baja	23/10/2024	10:32	int	3407
63	instalacion	23/10/2024	10:34	Error	2757
64	baja	23/10/2024	10:36	int	3364
65	instalacion	23/10/2024	10:38	int	6590
66	instalacion	23/10/2024	10:40	tel	6182
67	baja	23/10/2024	10:42	Error	5337
68	baja	23/10/2024	10:44	tv	3646
69	baja	23/10/2024	10:46	tv	8416
70	baja	23/10/2024	10:48	tel	6798
71	instalacion	23/10/2024	10:50	int	4035
72	instalacion	23/10/2024	10:52	int	6644
73	instalacion	23/10/2024	10:54	tv	1278
74	reclamo	23/10/2024	10:56	tel	4089
75	baja	23/10/2024	10:58	Error	7079
76	reclamo	23/10/2024	11:00	tel	8631
77	baja	23/10/2024	11:02	tv	8999
78	baja	23/10/2024	11:04	tel	5429
79	instalacion	23/10/2024	11:06	tv	2729
80	baja	23/10/2024	11:08	tel	8616
81	reclamo	23/10/2024	11:10	Error	8501
82	reclamo	23/10/2024	11:12	Error	4551
83	baja	23/10/2024	11:14	tel	4834
84	instalacion	23/10/2024	11:16	tv	7429
85	reclamo	23/10/2024	11:18	tel	8675
86	instalacion	23/10/2024	11:20	int	3819
87	baja	23/10/2024	11:22	Error	2244
88	reclamo	23/10/2024	11:24	int	2811
89	reclamo	23/10/2024	11:26	Error	2684
90	baja	23/10/2024	11:28	tv	6115
91	reclamo	23/10/2024	11:30	tv	4541
92	baja	23/10/2024	11:32	tv	5920
93	reclamo	23/10/2024	11:34	tel	8648
94	reclamo	23/10/2024	11:36	tv	1584
95	instalacion	23/10/2024	11:38	tv	3919
96	reclamo	23/10/2024	11:40	tv	2466
97	reclamo	23/10/2024	11:42	Error	4347
98	instalacion	23/10/2024	11:44	tel	7545
99	instalacion	23/10/2024	11:46	tv	5305
100	reclamo	23/10/2024	11:48	Error	5563
101	reclamo	23/10/2024	11:50	tel	2346
102	instalacion	23/10/2024	11:52	tel	7062
103	reclamo	23/10/2024	11:54	tel	3602
104	instalacion	23/10/2024	11:56	Error	7590
105	instalacion	23/10/2024	11:58	tel	2197
106	instalacion	23/10/2024	12:00	Error	3974
107	instalacion	23/10/2024	12:02	tv	1276
108	baja	23/10/2024	12:04	int	7040
109	baja	23/10/2024	12:06	tv	2984
110	baja	23/10/2024	12:08	Error	2199
111	reclamo	23/10/2024	12:10	tel	8463
112	reclamo	23/10/2024	12:12	int	1751
113	reclamo	23/10/2024	12:14	tel	1277
114	reclamo	23/10/2024	12:16	Error	1866
115	baja	23/10/2024	12:18	int	8050
116	baja	23/10/2024	12:20	tel	3600
117	baja	23/10/2024	12:22	Error	6443
118	baja	23/10/2024	12:24	Error	5573
119	baja	23/10/2024	12:26	Error	1664
120	instalacion	23/10/2024	12:28	Error	4414
121	reclamo	23/10/2024	12:30	tel	7299
122	instalacion	23/10/2024	12:32	tel	4867
123	baja	23/10/2024	12:34	tv	3719
124	instalacion	23/10/2024	12:36	tel	4979
125	baja	23/10/2024	12:38	tel	8446
126	baja	23/10/2024	12:40	int	9986
127	reclamo	23/10/2024	12:42	int	5478
128	baja	23/10/2024	12:44	Error	5880
129	reclamo	23/10/2024	12:46	tv	4701
130	baja	23/10/2024	12:48	int	2694
131	instalacion	23/10/2024	12:50	tv	6723
132	instalacion	23/10/2024	12:52	Error	4332
133	baja	23/10/2024	12:54	tel	6002
134	baja	23/10/2024	12:56	int	9135
135	reclamo	23/10/2024	12:58	tv	4879
136	reclamo	23/10/2024	13:00	Error	7602
137	baja	23/10/2024	13:02	Error	1484
138	reclamo	23/10/2024	13:04	tel	7271
139	instalacion	23/10/2024	13:06	int	3712
140	baja	23/10/2024	13:08	tel	5222
141	baja	23/10/2024	13:10	int	6237
142	baja	23/10/2024	13:12	Error	6867
143	baja	23/10/2024	13:14	Error	8021
144	reclamo	23/10/2024	13:16	Error	7769
145	reclamo	23/10/2024	13:18	Error	6866
146	instalacion	23/10/2024	13:20	tel	7285
147	baja	23/10/2024	13:22	tel	6932
148	baja	23/10/2024	13:24	Error	8737
149	baja	23/10/2024	13:26	Error	8710
150	baja	23/10/2024	13:28	tv	2601
151	instalacion	23/10/2024	13:30	Error	5183
152	instalacion	23/10/2024	13:32	int	9212
153	baja	23/10/2024	13:34	tv	8636
154	reclamo	23/10/2024	13:36	int	5787
155	reclamo	23/10/2024	13:38	tel	8039
156	reclamo	23/10/2024	13:40	tel	7130
157	reclamo	23/10/2024	13:42	tel	8935
158	reclamo	23/10/2024	13:44	tv	3504
159	instalacion	23/10/2024	13:46	tv	9090
160	reclamo	23/10/2024	13:48	Error	1274
161	baja	23/10/2024	13:50	tv	5619
162	instalacion	23/10/2024	13:52	tel	7770
163	reclamo	23/10/2024	13:54	Error	1240
164	instalacion	23/10/2024	13:56	tv	3255
165	instalacion	23/10/2024	13:58	tv	7627
166	instalacion	23/10/2024	14:00	tel	5132
167	instalacion	23/10/2024	14:02	int	2645
168	reclamo	23/10/2024	14:04	tv	7573
169	instalacion	23/10/2024	14:06	tel	2094
170	instalacion	23/10/2024	14:08	int	8902
171	reclamo	23/10/2024	14:10	tel	1342
172	baja	23/10/2024	14:12	int	7462
173	baja	23/10/2024	14:14	tv	3962
174	instalacion	23/10/2024	14:16	tv	8169
175	baja	23/10/2024	14:18	tv	4843
176	baja	23/10/2024	14:20	tv	3462
177	baja	23/10/2024	14:22	tel	3780
178	reclamo	23/10/2024	14:24	int	1202
179	reclamo	23/10/2024	14:26	tv	8877
180	baja	23/10/2024	14:28	int	2359
181	instalacion	23/10/2024	14:30	tel	8902
182	baja	23/10/2024	14:32	tv	4244
183	reclamo	23/10/2024	14:34	int	9698
184	reclamo	23/10/2024	14:36	tv	5375
185	instalacion	23/10/2024	14:38	tv	6242
186	baja	23/10/2024	14:40	int	4260
187	instalacion	23/10/2024	14:42	tv	9363
188	instalacion	23/10/2024	14:44	int	5963
189	instalacion	23/10/2024	14:46	tel	7750
190	reclamo	23/10/2024	14:48	Error	9458
191	instalacion	23/10/2024	14:50	int	5639
192	instalacion	23/10/2024	14:52	Error	7300
193	reclamo	23/10/2024	14:54	tel	7246
194	baja	23/10/2024	14:56	tel	4618
195	reclamo	23/10/2024	14:58	int	7971
196	baja	23/10/2024	15:00	Error	2583
197	baja	23/10/2024	15:02	tv	2419
198	instalacion	23/10/2024	15:04	Error	6013
199	instalacion	23/10/2024	15:06	tv	3064
200	instalacion	23/10/2024	15:08	int	4022
201	instalacion	23/10/2024	15:10	tv	1904
202	baja	23/10/2024	15:12	tv	4736
203	instalacion	23/10/2024	15:14	tel	6529
204	instalacion	23/10/2024	15:16	Error	5456
205	baja	23/10/2024	15:18	int	6822
206	reclamo	23/10/2024	15:20	Error	6458
207	instalacion	23/10/2024	15:22	tv	6432
208	reclamo	23/10/2024	15:24	Error	2372
209	reclamo	23/10/2024	15:26	tv	3763
210	reclamo	23/10/2024	15:28	tv	1795
211	instalacion	23/10/2024	15:30	tel	9996
212	instalacion	23/10/2024	15:32	Error	3393
213	reclamo	23/10/2024	15:34	tel	3303
214	baja	23/10/2024	15:36	int	9654
215	baja	23/10/2024	15:38	Error	9147
216	instalacion	23/10/2024	15:40	Error	9180
217	baja	23/10/2024	15:42	tel	2473
218	baja	23/10/2024	15:44	Error	4510
219	baja	23/10/2024	15:46	tel	9936
220	instalacion	23/10/2024	15:48	tv	8841
221	instalacion	23/10/2024	15:50	Error	8068
222	baja	23/10/2024	15:52	Error	7686
223	reclamo	23/10/2024	15:54	Error	7971
224	reclamo	23/10/2024	15:56	int	1242
225	baja	23/10/2024	15:58	int	1357
226	reclamo	23/10/2024	16:00	int	1688
227	instalacion	23/10/2024	16:02	Error	4969
228	instalacion	23/10/2024	16:04	tel	5732
229	baja	23/10/2024	16:06	tel	9677
